iter	Logloss
0	0.6728689745
1	0.6542255825
2	0.6371709583
3	0.6215898019
4	0.6073448238
5	0.5943970461
6	0.5825073073
7	0.5716885319
8	0.5617431358
9	0.5526892429
10	0.545037627
11	0.5373705037
12	0.5309858025
13	0.5243984138
14	0.5184303227
15	0.5130249249
16	0.5085526473
17	0.5039837251
18	0.4997020185
19	0.4961742147
20	0.493015165
21	0.4901188603
22	0.4870314421
23	0.4842316465
24	0.4816803883
25	0.4796340038
26	0.4773935106
27	0.4753658775
28	0.4734855426
29	0.4718560056
30	0.4703112002
31	0.4689385591
32	0.4676101798
33	0.4663977898
34	0.4651960302
35	0.4641540753
36	0.4633401602
37	0.462510116
38	0.4617970954
39	0.4610367952
40	0.4603723766
41	0.4598133963
42	0.4591681982
43	0.4585735745
44	0.4580886163
45	0.4575423403
46	0.4571777344
47	0.4567631757
48	0.4564286183
49	0.4561070308
50	0.4558447322
51	0.4554641385
52	0.4551974826
53	0.4549506915
54	0.4546413619
55	0.4544128474
56	0.454206769
57	0.453963527
58	0.4537625574
59	0.4536827087
60	0.4535358627
61	0.453398607
62	0.4532432782
63	0.4531049262
64	0.4529993184
65	0.4528610964
66	0.4527101192
67	0.452570586
68	0.4524115103
69	0.4522936051
70	0.452186867
71	0.452108759
72	0.4520272375
73	0.4519974037
74	0.4519432463
75	0.4518763224
76	0.4518413233
77	0.4517755805
78	0.4517299398
79	0.4516769579
80	0.451593741
81	0.4515572442
82	0.4514864434
83	0.4514352587
84	0.451424634
85	0.4513430673
86	0.4512879379
87	0.4512698138
88	0.4512404604
89	0.4512215056
90	0.4511809399
91	0.4511344401
92	0.4510850073
93	0.4510584852
94	0.4510135114
95	0.4510006996
96	0.4509920304
97	0.4509592975
98	0.450954279
99	0.4509389863
100	0.4509262481
101	0.4508888527
102	0.4508502254
103	0.4508342093
104	0.4508087384
105	0.4508057149
106	0.4507939883
107	0.4507815552
108	0.4507509133
109	0.4507467143
110	0.450724363
111	0.4507133314
112	0.4506996607
113	0.4506965976
114	0.4506851479
115	0.4506650458
116	0.4506608977
117	0.4506376309
118	0.4506234572
119	0.450609436
120	0.4506020214
121	0.450573301
122	0.4505675026
123	0.4505500906
124	0.4505370416
125	0.4505158431
126	0.4505095927
127	0.450500833
128	0.4504906661
129	0.4504811718
130	0.4504741867
131	0.4504678797
132	0.4504468791
133	0.4504222559
134	0.4503993338
135	0.450383832
136	0.4503708733
137	0.4503682002
138	0.4503582368
139	0.4503507883
140	0.4503476235
141	0.4503261086
142	0.4503127374
143	0.4503094991
144	0.4503053849
145	0.4503037912
146	0.4502999369
147	0.4502895553
148	0.4502679669
149	0.4502451579
150	0.4502449488
151	0.4502434625
152	0.4502408176
153	0.4502358726
154	0.4502363756
155	0.4502324705
156	0.4502338946
157	0.4502213259
158	0.4502225918
159	0.4502166522
160	0.4502075987
161	0.4502036879
162	0.4501996132
163	0.4501988107
164	0.4501983303
165	0.4501917465
166	0.450187361
167	0.4501872366
168	0.4501759734
169	0.4501609294
170	0.4501477107
171	0.4501295132
172	0.4501264671
173	0.4501256703
174	0.4501244326
175	0.4501163115
176	0.4501040423
177	0.4500929712
178	0.4500866586
179	0.4500804195
180	0.4500802443
181	0.4500647312
182	0.4500601648
183	0.4500487094
184	0.4500462285
185	0.4500400345
186	0.4500391812
187	0.4500291895
188	0.4500239054
189	0.4500227073
190	0.4500201868
191	0.4500096978
192	0.4499967278
193	0.4499905113
194	0.4499869735
195	0.4499852611
196	0.4499852837
197	0.4499740883
198	0.4499736984
199	0.4499742013
200	0.4499732802
201	0.4499682391
202	0.4499654643
203	0.4499640119
204	0.4499615761
205	0.4499607397
206	0.4499562186
207	0.449952483
208	0.4499534437
209	0.4499479901
210	0.4499441924
211	0.4499412254
212	0.4499389253
213	0.4499362522
214	0.4499355118
215	0.4499319458
216	0.4499240169
217	0.4499228301
218	0.4499205017
219	0.4499179247
220	0.4499180999
221	0.4499146525
222	0.4499139687
223	0.4499060511
224	0.4499029767
225	0.4498959577
226	0.4498916796
227	0.4498867402
228	0.4498821287
229	0.4498775341
230	0.4498776132
231	0.4498748779
232	0.4498748892
233	0.4498747875
234	0.4498735951
235	0.4498749231
236	0.449870176
237	0.4498709785
238	0.4498697634
239	0.4498666099
240	0.4498665139
241	0.4498604838
242	0.4498571664
243	0.44985351
244	0.449853024
245	0.4498461349
246	0.449843021
247	0.449839794
248	0.4498353972
249	0.4498303392
250	0.4498280843
251	0.4498208844
252	0.4498215117
253	0.4498143966
254	0.4498088356
255	0.4497995052
256	0.4497953288
257	0.4497932773
258	0.449792407
259	0.4497886658
260	0.4497836247
261	0.4497826696
262	0.449780816
263	0.4497746842
264	0.4497729718
265	0.4497723954
266	0.449770553
267	0.4497678686
268	0.4497652859
269	0.44976094
270	0.4497606574
271	0.4497582104
272	0.4497563737
273	0.4497563454
274	0.4497532258
275	0.4497466137
276	0.449745133
277	0.4497463311
278	0.4497458451
279	0.4497409736
280	0.4497387526
281	0.4497333385
282	0.4497310102
283	0.4497309706
284	0.4497235447
285	0.4497235107
286	0.4497213802
287	0.4497193287
288	0.4497127844
289	0.4497086589
290	0.4497039456
291	0.4497015776
292	0.4497027983
293	0.4496978421
294	0.449698718
295	0.449693287
296	0.4496912469
297	0.4496894723
298	0.4496852055
299	0.4496838718
300	0.4496796615
301	0.4496735749
302	0.4496725633
303	0.4496703254
304	0.4496674545
305	0.4496685452
306	0.4496668611
307	0.449662939
308	0.4496601472
309	0.4496585874
310	0.4496560499
311	0.4496525461
312	0.4496528399
313	0.449650602
314	0.4496486975
315	0.4496457022
316	0.4496453631
317	0.4496409324
318	0.4496396439
319	0.4496379485
320	0.4496344446
321	0.4496328905
322	0.4496312064
323	0.449630093
324	0.4496255776
325	0.4496232153
326	0.4496214012
327	0.4496183777
328	0.4496159137
329	0.4496143934
330	0.4496141448
331	0.4496082278
332	0.4496057072
333	0.4496013896
334	0.4496018191
335	0.4495975862
336	0.4495977388
337	0.4495952126
338	0.4495930707
