iter	Passed	Remaining
429	1739	2305
430	1743	2301
431	1747	2297
432	1751	2293
433	1755	2289
434	1759	2285
435	1764	2282
436	1768	2278
437	1772	2274
438	1776	2270
439	1780	2266
440	1784	2261
441	1788	2257
442	1792	2253
443	1796	2249
444	1799	2244
445	1803	2240
446	1808	2237
447	1812	2233
448	1815	2228
449	1819	2223
450	1823	2219
451	1827	2215
452	1831	2211
453	1836	2208
454	1839	2203
455	1843	2199
456	1847	2195
457	1851	2191
458	1855	2187
459	1858	2182
460	1863	2178
461	1867	2174
462	1871	2170
463	1875	2166
464	1880	2163
465	1884	2159
466	1888	2155
467	1892	2151
468	1896	2147
469	1899	2142
470	1904	2138
471	1908	2135
472	1912	2131
473	1917	2127
474	1920	2123
475	1927	2121
476	1932	2119
477	1938	2116
478	1942	2112
479	1945	2107
480	1949	2103
481	1954	2100
482	1958	2096
483	1962	2092
484	1966	2088
485	1970	2084
486	1975	2080
487	1978	2075
488	1982	2071
489	1985	2066
490	1988	2061
491	1993	2058
492	1997	2053
493	2001	2049
494	2003	2044
495	2006	2039
496	2009	2033
497	2012	2028
498	2015	2023
499	2018	2018
500	2021	2012
501	2024	2008
502	2029	2005
503	2033	2001
504	2037	1996
505	2041	1992
506	2045	1988
507	2049	1984
508	2053	1980
509	2057	1977
510	2061	1972
511	2065	1968
512	2068	1964
513	2073	1960
514	2077	1956
515	2080	1951
516	2083	1946
517	2087	1942
518	2091	1937
519	2095	1933
520	2099	1930
521	2103	1926
522	2108	1922
523	2111	1918
524	2115	1914
525	2119	1910
526	2123	1905
527	2127	1901
528	2130	1896
529	2133	1891
530	2136	1886
531	2139	1882
532	2143	1878
533	2146	1873
534	2150	1869
535	2155	1865
536	2159	1861
537	2163	1857
538	2167	1853
539	2171	1849
540	2174	1844
541	2178	1840
542	2181	1835
543	2185	1831
544	2188	1827
545	2192	1823
546	2196	1818
547	2199	1813
548	2202	1809
549	2206	1805
550	2209	1800
551	2212	1795
552	2215	1790
553	2218	1786
554	2221	1781
555	2225	1776
556	2228	1772
557	2231	1767
558	2235	1763
559	2239	1759
560	2243	1755
561	2247	1751
562	2252	1748
563	2256	1744
564	2260	1740
565	2263	1735
566	2267	1731
567	2271	1727
568	2275	1723
569	2279	1719
570	2282	1715
571	2286	1711
572	2289	1706
573	2292	1701
574	2295	1696
575	2298	1691
576	2301	1687
577	2305	1683
578	2308	1678
579	2312	1674
580	2315	1670
581	2318	1665
582	2322	1661
583	2326	1657
584	2331	1653
585	2335	1650
586	2338	1645
587	2341	1640
588	2344	1635
589	2347	1631
590	2350	1626
591	2354	1622
592	2358	1618
593	2362	1614
594	2365	1610
595	2369	1606
596	2373	1602
597	2377	1597
598	2381	1594
599	2385	1590
600	2388	1585
601	2392	1581
602	2395	1577
603	2399	1572
604	2402	1568
605	2404	1563
606	2408	1559
607	2412	1555
608	2416	1551
609	2419	1546
610	2422	1542
611	2424	1537
612	2427	1532
613	2431	1528
614	2433	1523
615	2436	1518
616	2439	1514
617	2442	1509
618	2445	1505
619	2448	1500
620	2451	1496
621	2454	1491
622	2457	1487
623	2461	1482
624	2464	1478
625	2466	1473
626	2469	1469
627	2472	1464
628	2475	1460
629	2479	1456
630	2483	1452
631	2485	1447
632	2488	1442
633	2491	1438
634	2495	1434
635	2498	1429
636	2501	1425
637	2504	1421
638	2508	1417
639	2513	1413
640	2516	1409
641	2519	1404
642	2522	1400
643	2524	1395
644	2528	1391
645	2530	1386
646	2533	1382
647	2536	1377
648	2539	1373
649	2542	1368
650	2545	1364
651	2549	1360
652	2553	1357
653	2558	1353
654	2561	1349
655	2564	1344
656	2567	1340
657	2571	1336
658	2575	1332
659	2578	1328
660	2582	1324
661	2586	1320
662	2591	1317
663	2595	1313
664	2600	1310
665	2604	1306
666	2609	1302
667	2612	1298
668	2615	1293
669	2618	1289
670	2621	1285
671	2624	1281
672	2627	1276
673	2630	1272
674	2633	1267
675	2636	1263
676	2641	1260
677	2644	1255
678	2647	1251
679	2650	1247
680	2653	1243
681	2656	1238
682	2659	1234
683	2662	1230
684	2665	1225
685	2668	1221
686	2671	1217
687	2674	1212
688	2677	1208
689	2680	1204
690	2683	1199
691	2686	1195
692	2691	1192
693	2694	1188
694	2698	1184
695	2702	1180
696	2706	1176
697	2711	1172
698	2715	1169
699	2719	1165
700	2723	1161
701	2728	1158
702	2732	1154
703	2736	1150
704	2740	1146
705	2745	1143
706	2749	1139
707	2753	1135
708	2756	1131
709	2759	1127
710	2763	1123
711	2765	1118
712	2769	1114
713	2772	1110
714	2776	1106
715	2779	1102
716	2782	1098
717	2786	1094
718	2789	1090
719	2792	1085
720	2795	1081
721	2798	1077
722	2803	1073
723	2806	1069
724	2809	1065
725	2813	1061
726	2816	1057
727	2820	1053
728	2824	1050
729	2828	1046
730	2831	1041
731	2835	1038
732	2838	1034
733	2842	1030
734	2845	1025
735	2849	1021
736	2853	1018
737	2857	1014
738	2861	1010
739	2865	1006
740	2869	1003
741	2872	998
742	2875	994
743	2879	990
744	2883	986
745	2886	982
746	2890	978
747	2894	975
748	2897	971
749	2902	967
750	2906	963
751	2912	960
752	2917	956
753	2921	953
754	2925	949
755	2929	945
756	2934	941
757	2938	938
758	2942	934
759	2946	930
760	2951	927
761	2955	923
762	2958	919
763	2962	915
764	2967	911
765	2972	907
766	2975	903
767	2978	899
768	2982	895
769	2986	892
770	2989	887
771	2992	883
772	2995	879
773	2999	875
774	3002	871
775	3005	867
776	3008	863
777	3011	859
778	3014	855
779	3017	851
780	3020	847
781	3023	842
782	3026	838
783	3030	834
784	3033	830
785	3036	826
786	3039	822
787	3042	818
788	3046	814
789	3049	810
790	3052	806
791	3055	802
792	3058	798
793	3063	794
794	3066	790
795	3069	786
796	3072	782
797	3076	778
798	3079	774
799	3083	770
800	3086	766
801	3089	762
802	3094	759
803	3099	755
804	3104	751
805	3107	747
806	3111	744
807	3115	740
808	3119	736
809	3124	732
810	3128	729
811	3131	725
812	3134	720
813	3137	717
814	3141	713
815	3144	709
816	3148	705
817	3151	701
818	3155	697
819	3159	693
820	3163	689
821	3166	685
822	3170	681
823	3174	678
824	3178	674
825	3181	670
826	3184	666
827	3187	662
828	3192	658
829	3196	654
830	3200	650
831	3204	647
832	3207	643
833	3210	639
834	3214	635
835	3218	631
836	3221	627
837	3225	623
838	3230	619
839	3233	615
840	3236	611
841	3239	607
842	3244	604
843	3247	600
844	3250	596
845	3254	592
846	3257	588
847	3260	584
848	3264	580
849	3268	576
850	3271	572
851	3275	569
852	3279	565
853	3283	561
854	3285	557
855	3289	553
856	3292	549
857	3296	545
858	3300	541
859	3303	537
860	3307	533
861	3310	530
862	3313	526
863	3316	522
864	3320	518
865	3324	514
866	3329	510
867	3332	506
868	3335	502
869	3340	499
870	3342	495
871	3345	491
872	3348	487
873	3351	483
874	3356	479
875	3360	475
876	3364	471
877	3368	468
878	3371	464
879	3374	460
880	3377	456
881	3380	452
882	3383	448
883	3386	444
884	3389	440
885	3392	436
886	3395	432
887	3399	428
888	3403	424
889	3406	421
890	3409	417
891	3412	413
892	3415	409
893	3419	405
894	3422	401
895	3425	397
896	3428	393
897	3431	389
898	3435	385
899	3438	382
900	3442	378
901	3445	374
902	3450	370
903	3453	366
904	3457	362
905	3461	359
906	3464	355
907	3469	351
908	3473	347
909	3476	343
910	3480	340
911	3485	336
912	3489	332
913	3494	328
914	3496	324
915	3500	320
916	3503	317
917	3506	313
918	3508	309
919	3511	305
920	3515	301
921	3518	297
922	3521	293
923	3524	289
924	3527	285
925	3530	282
926	3533	278
927	3536	274
928	3539	270
929	3542	266
930	3545	262
931	3548	258
932	3551	255
933	3554	251
934	3557	247
935	3560	243
936	3564	239
937	3567	235
938	3571	232
939	3574	228
940	3577	224
941	3581	220
942	3584	216
943	3587	212
944	3590	208
945	3592	205
946	3596	201
947	3599	197
948	3602	193
949	3605	189
950	3608	185
951	3615	182
952	3618	178
953	3621	174
954	3624	170
955	3629	167
956	3632	163
957	3636	159
958	3639	155
959	3643	151
960	3646	147
961	3649	144
962	3652	140
963	3655	136
964	3657	132
965	3662	128
966	3665	125
967	3668	121
968	3671	117
969	3675	113
970	3678	109
971	3681	106
972	3684	102
973	3687	98
974	3690	94
975	3693	90
976	3696	87
977	3699	83
978	3701	79
979	3705	75
980	3710	71
981	3713	68
982	3716	64
983	3718	60
984	3721	56
985	3726	52
986	3729	49
987	3733	45
988	3736	41
989	3738	37
990	3742	33
991	3746	30
992	3750	26
993	3753	22
994	3756	18
995	3759	15
996	3762	11
997	3765	7
998	3768	3
999	3771	0
